لابائهم, 2 
كبد, 1 
تفسحوا, 1 
يولون, 1 
تاخذوا, 2 
بصدقهم, 1 
ذوي, 2 
للرجال, 2 
فليكونوا, 1 
والغنم, 1 
لقيتم, 3 
راغبون, 2 
لاثم, 1 
ليكونا, 1 
رسلي, 1 
نزلنا, 6 
امري, 8 
الاخرى, 5 
المثلى, 1 
تتبعوا, 8 
كلوا, 15 
وامددناهم, 1 
نقصص, 1 
رصدا, 2 
مشربهم, 2 
مهزوم, 1 
نؤتى, 1 
فذروه, 1 
لتسحرنا, 1 
الانامل, 1 
تغلوا, 2 
المر, 1 
مقيتا, 1 
جنب, 2 
واركعي, 1 
قطعتم, 1 
لنسالنهم, 1 
عشيه, 1 
نباتا, 2 
فعقر, 1 
اضلانا, 1 
بجانب, 2 
معطله, 1 
فقدموا, 1 
حميدا, 1 
الوف, 1 
حسنات, 1 
تذبحوا, 1 
زاهق, 1 
فيغرقكم, 1 
النخيل, 1 
كشفنا, 4 
تصدون, 1 
انها, 19 
يبلس, 1 
وكشفت, 1 
فيخرج, 1 
اتسق, 1 
الطرف, 3 
ظلوما, 1 
ولنعلمه, 1 
مسمى, 21 
ليخرجكم, 2 
محصنه, 1 
والاكرام, 2 
فالتقطه, 1 
لكارهون, 1 
جدد, 1 
متاعنا, 2 
جزيناهم, 2 
بالازلام, 1 
وليبلي, 1 
صديقكم, 1 
خامدين, 1 
الجمل, 1 
يسجرون, 1 
الزراع, 1 
فارسلوا, 1 
قتلهم, 2 
التوبه, 4 
ولتنصرنه, 1 
الكريم, 3 
وقطعنا, 1 
ربي, 94 
يسر, 1 
اذلك, 2 
الكره, 1 
واخلصوا, 1 
تبقي, 1 
رجلين, 5 
بعهده, 2 
يستغفروا, 1 
تنسوا, 1 
وسمعنا, 1 
فاسال, 4 
يحيى, 5 
شهاب, 2 
يقتلونني, 1 
تطوع, 2 
لظالمين, 1 
فينقلبوا, 1 
اناس, 5 
والصابئين, 2 
والنخل, 3 
حدود, 12 
اظفركم, 1 
بوانا, 2 
سجيل, 3 
صغير, 1 
ولياتينهم, 1 
وامراه, 2 
فدلاهما, 1 
مختالا, 1 
اصرا, 1 
والقاسيه, 1 
مدا, 2 
طلعها, 3 
قائمون, 1 
قصمنا, 1 
غفله, 5 
فاولئك, 46 
اخرجوا, 6 
عرضها, 2 
البلد, 4 
يهرعون, 2 
نورنا, 1 
والجلود, 1 
بناصيتها, 1 
معكم, 26 
يستضعف, 1 
انذر, 4 
اقتده, 1 
يحكموك, 1 
وقابل, 1 
تذودان, 1 
والجار, 2 
والسوء, 1 
ولله, 27 
مغرما, 1 
بياتا, 3 
شفا, 2 
اشياءهم, 3 
ليضلون, 1 
